sample_id,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39
MMRF_1148_1_BM,-1.269450007,-0.160786295,1.242137561,0.054446907,0.926695177,0.378856923,-0.582182937,0.351038734,0.009847463,0.987342905,-1.994177041,-1.50276231,0.015549449,-0.077425134,-0.504695126,-0.508062211,2.291411759,-0.438620397,0.480502855,-0.93860368,1.877891152,0.275520285,-0.606723837,0.316543989,0.22835547,1.832516965,0.993431609,3.057050407,0.102458868,2.493750042,-0.811451354,-0.245705056,0.341573458,0.834856212,-0.459423513,0.652345327,0.610780012,0.916915445,-0.771694387
MMRF_1151_1_BM,0.071345464,1.580643324,-1.101524996,-1.050793346,-0.601773723,-0.464445835,0.982974865,-0.591116376,0.474131366,0.504005869,1.813926029,0.677745626,-0.626590651,0.031393698,-1.428316179,1.159472639,-0.055785184,0.357986101,0.975022595,0.083268798,-1.125274772,1.156163326,-1.138603064,1.080420536,-0.742315302,-0.407709914,1.022769793,0.387924409,-0.381097639,0.149014526,0.380186788,0.245631564,0.487147697,-0.146734498,0.84829701,-0.884485366,0.76714248,-0.367939344,1.758172302
MMRF_1152_1_BM,-1.039629981,0.588694754,0.640399966,1.597705385,0.017720827,-0.495184667,0.668350689,0.830007134,-1.128423221,-0.571391689,0.234642874,0.049329777,-0.974899947,2.752260681,-0.775375121,0.360839175,0.905866691,-0.341916875,-0.117817481,0.212013188,-0.759678257,-0.38808804,0.462211329,0.994608037,-0.254105115,0.857195517,-0.64025657,0.315176117,1.582611305,-1.214976417,0.676819143,1.770603848,0.6773493,0.3896444,0.954093033,0.340781912,-0.669524846,0.427487569,-1.027964233
MMRF_1153_1_BM,-1.294455845,-0.039994176,0.879803847,0.151948124,0.196904934,0.80180907,-0.137777559,0.692001247,0.563675621,-0.28902981,-1.567346799,0.63379525,1.329989132,-0.564417992,1.161031748,0.105073916,-1.014309165,-1.084581558,-1.291692459,-1.499212801,-0.14870045,0.169972545,-0.402160763,-1.006431641,-1.308756313,1.305438377,0.69401635,0.110184281,-0.491518746,0.672064103,0.575074088,-0.624560836,0.073315568,-0.548582346,-0.907391203,0.386033974,-0.326350485,0.862119832,0.134225841
MMRF_1157_1_BM,1.346624006,-0.789342672,-2.36790045,0.713092825,-1.329653027,-0.030938437,0.376295417,-0.296160767,1.56525996,-1.796115452,-0.817088572,0.206323714,-0.295939948,0.237323186,-0.100743381,-0.513644836,0.953603535,0.443565085,-0.00525741,-1.412281545,0.120094277,-0.295476165,-0.344084893,-0.217090968,0.860012288,-1.171681,1.593128854,-0.758348446,-0.494092907,0.188515896,0.142008213,0.451394391,-0.021383757,0.61204153,0.212575047,0.203740803,0.346484698,0.269095288,-0.975763574
MMRF_1159_1_BM,-0.128961181,-0.826614714,0.164812016,-1.767283412,-2.251962453,1.13600354,0.236689248,0.104764882,-0.308679423,-0.984214222,0.217322808,-1.195863535,0.178040602,0.165537348,-0.851815877,-0.670370148,-0.063165811,1.193127088,-0.163833218,1.280495522,-1.516740838,-1.038158505,0.689536171,-3.583318808,-0.016754568,1.37730288,0.551929908,-1.236673526,-0.173177778,0.188620503,-1.615152034,0.920078998,-0.639574083,0.103422494,1.725100227,1.384442853,-1.09537643,0.052060504,-2.340126737
MMRF_1164_1_BM,1.895964805,-0.566985729,1.127690946,-1.607709846,-1.067243691,-1.525125985,0.051736194,-0.805870798,0.506634299,-0.76001908,-1.115307358,1.452467744,-0.218549429,0.659946289,0.188937944,-2.419107267,-0.546629828,0.070900697,-1.269200176,-0.121383118,1.84429836,-0.970272691,-0.361971512,-0.332774171,-0.370295748,-0.155951198,0.748924784,0.57040862,0.454076315,-0.853391485,-0.212087719,1.484404663,1.31990239,-2.05445826,-0.122357089,0.033350726,0.290068624,-0.024128284,0.476493774
MMRF_1167_1_BM,-1.837754544,-0.601486831,-0.097669815,1.198083704,-0.740929617,1.163062796,-0.123071398,-2.235176069,-0.799616287,1.233249755,-0.05938495,-1.878529663,0.986110086,1.656652177,0.582522687,-0.534558935,-0.387472427,-2.50805029,-0.473310348,0.211069225,-0.706205782,1.871171547,0.557176231,-0.704433798,0.398933401,-1.164222957,-0.725383356,2.12425746,-0.29147337,-1.728534333,0.254926492,-1.526562045,0.994647292,-1.33058791,-1.84230056,-1.066280433,-1.412106078,-1.090250869,-1.140184284
MMRF_1169_1_BM,-0.454948532,-0.567511272,-0.234527827,-0.327600638,-0.305463068,-0.666065689,1.601616232,-0.255138741,-0.553801594,0.176738494,-0.653238424,-1.219675207,0.017184725,3.121678485,0.494555539,-2.162108054,-0.355372707,-1.180313988,1.367448584,-0.664301804,-0.838911704,-1.212555288,0.314426743,-2.452574126,-1.091765895,-1.411904158,-0.281828419,0.708324972,0.528222391,-0.036008706,0.531895082,-0.736804085,0.716737939,0.607845145,-0.480337897,-0.283305414,0.524480552,-0.303561172,0.352879738
MMRF_1171_1_BM,-0.031755722,1.103506886,-0.209078595,-1.443468363,0.054622309,0.393590226,1.138139208,0.01715039,-0.167057887,-0.057361653,0.8973987,0.925565736,0.647672367,-0.366069456,0.195516832,0.141929216,-0.735696589,-0.72729356,1.951165732,0.837013018,-0.851417965,2.119023207,1.572447391,-1.023070279,-0.556110557,-1.076352999,1.008448235,-0.685637297,-0.917030081,0.695657243,-1.06263759,1.462816541,0.061782274,-0.30544087,1.27829861,0.142890609,1.468315059,-0.484501445,0.078540316
