pc,value,idx,selected,perpcept,y,x,dist,propvar,cumulpropvar
PC232,1.6096823675112,231,Not used,-641.973898010895,170.294786893964,291.545763337684,179.221800982032,0.000511821700715073,0.888868815542118
PC233,1.60608198156486,232,Not used,-644.763574502375,169.976411360078,292.43278180523,178.887363812394,0.000510676906129829,0.889379492448248
PC234,1.58928678119246,233,Not used,-647.566445808282,169.656529950476,293.323995757128,178.565345715872,0.000505336630189714,0.889884829078438
PC235,1.58812110468856,234,Not used,-650.35368759032,169.338432281038,294.210240073174,178.228616976712,0.000504965986550475,0.890389795064988
PC236,1.57879351551344,235,Not used,-653.149091285029,169.019403122479,295.099079588804,177.899570300138,0.000502000145182302,0.890891795210171
PC237,1.56281667486065,236,Not used,-655.951144231216,168.699615109266,295.990033331253,177.576781956392,0.000496920078505789,0.891388715288676
PC238,1.55715024296921,237,Not used,-658.742886768642,168.381003785144,296.877708728343,177.244289367012,0.000495118354845148,0.891883833643522
PC239,1.55488331034858,238,Not used,-661.531229806797,168.06278043339,297.764303204888,176.908597139605,0.000494397550956932,0.892378231194478
PC240,1.54240661074861,239,Not used,-664.329782611931,167.743391878422,298.654144026265,176.582514432918,0.000490430404557457,0.892868661599036
PC241,1.53730321264428,240,Not used,-667.12096211557,167.424844811278,299.541640398522,176.249491911283,0.000488807705601501,0.893357469304637
PC242,1.52745118946996,241,Not used,-669.916890244278,167.105755800993,300.430646665617,175.920938836512,0.000485675112887347,0.893843144417525
PC243,1.51653933714981,242,Not used,-672.713878202133,166.786545836299,301.319989920899,175.593383282071,0.000482205532226483,0.894325349949751
PC244,1.5136504291042,243,Not used,-675.502843215712,166.468251500773,302.206782163634,175.258276463297,0.000481286962290604,0.894806636912042
PC245,1.5071043720007,244,Not used,-678.29546537835,166.149539788256,303.094737250433,174.926611784752,0.000479205549120331,0.895285842461162
PC246,1.49209304602965,245,Not used,-681.096552809855,165.829861965688,303.985383993359,174.602914690262,0.000474432481747809,0.89576027494291
PC247,1.48436835168991,246,Not used,-683.890353609729,165.51101573963,304.873713845117,174.272359355247,0.000471976303886718,0.896232251246797
PC248,1.47555682455613,247,Not used,-686.685241242397,165.192045477337,305.762389271268,173.94282695663,0.000469174551879905,0.896701425798677
PC249,1.46795587875326,248,Not used,-689.478918293734,164.873213374246,306.650679775368,173.612155148426,0.000466757721649053,0.897168183520326
PC250,1.46519736963899,249,Not used,-692.267752908383,164.554933920672,307.537430555854,173.276925597053,0.000465880613932153,0.897634064134258
PC251,1.45886021640099,250,Not used,-695.060166167155,164.236246049585,308.425319218612,172.945064296388,0.000463865624755761,0.898097929759014
PC252,1.44688916260669,251,Not used,-697.858213326484,163.916915202116,309.314999262504,172.618505671509,0.000460059255725436,0.898557989014739
PC253,1.44472077205746,252,Not used,-700.646457822567,163.598703096607,310.201562406156,172.282720695454,0.000459369784708595,0.899017358799448
PC254,1.43761472684575,253,Not used,-703.439639973313,163.279927474703,311.08969554937,171.951583082546,0.000457110315251126,0.899474469114699
PC255,1.42761740390971,254,Not used,-706.235713401783,162.960821881889,311.97874801665,171.623166765163,0.000453931522384287,0.899928400637083
PC256,1.42405988982953,255,Not used,-709.025347021398,162.642451240812,312.865752852458,171.288689244154,0.00045280035952658,0.900381200996609
PC257,1.42280235854569,256,Not used,-711.812680658216,162.324343088326,313.752026375076,170.952046959504,0.000452400509336638,0.900833601505946
PC258,1.40854164778671,257,Not used,-714.613017474509,162.004750930716,314.642434448909,170.627643379504,0.000447866110885499,0.901281467616832
PC259,1.40204969601683,258,Not used,-717.405585531813,161.686045393041,315.530372332126,170.295927776552,0.000445801901285591,0.901727269518117
PC260,1.3973702936674,259,Not used,-720.196341039697,161.367546714976,316.417733888728,169.962506186457,0.000444314017888747,0.902171583536006
PC261,1.39574398823481,260,Not used,-722.984043450663,161.04939647565,317.304124668483,169.626210995216,0.000443796910644986,0.902615380446651
PC262,1.38631749429443,261,Not used,-725.779546050138,160.730356029454,318.192995632331,169.29725740866,0.000440799621081701,0.903056180067733
PC263,1.38395797922408,262,Not used,-728.567981670743,160.412122111605,319.07961954682,168.961652320653,0.000440049379269687,0.903496229447002
PC264,1.37688975876426,263,Not used,-731.361125996737,160.0933508065,319.967740663101,168.630479106761,0.000437801936737053,0.903934031383739
PC265,1.37062600379242,264,Not used,-734.153465857243,159.774671312088,320.855605987806,168.298548723016,0.000435810285596894,0.904369841669336
PC266,1.36479488495781,265,Not used,-736.945373081612,159.45604119285,321.74333374952,167.966211138407,0.000433956197349896,0.904803797866686
PC267,1.35552023249618,266,Not used,-739.740723839608,159.137018075764,322.632156433147,167.637114637342,0.000431007187972479,0.905234805054659
PC268,1.35493573874038,267,Not used,-742.527384438897,158.818986734579,323.518215953632,167.299838883968,0.000430821339761561,0.90566562639442
PC269,1.34974071954207,268,Not used,-745.31865556363,158.500429211056,324.405741458158,166.966902596896,0.000429169508558715,0.906094795902979
PC270,1.3430049228026,269,Not used,-748.111467465904,158.181695844251,325.293756875451,166.635416502933,0.000427027764937456,0.906521823667916
PC271,1.3415566581123,270,Not used,-750.898991836128,157.863565924061,326.180091044547,166.29895373821,0.000426567268312882,0.906948390936229
PC272,1.33122870501597,271,Not used,-753.695395894759,157.544422597641,327.069248640525,165.970848612785,0.000423283346822928,0.907371674283052
PC273,1.32391128576607,272,Not used,-756.488789419543,157.225622852394,327.957448993208,165.639909946944,0.000420956667944585,0.907792630950997
PC274,1.31564921203469,273,Not used,-759.283127598808,156.9067152972,328.845949712609,165.309860398047,0.000418329622563475,0.90821096057356
PC275,1.30991122219035,274,Not used,-762.074941694187,156.588095806432,329.733647862597,164.977435159629,0.000416505146020717,0.908627465719581
PC276,1.30391023606977,275,Not used,-764.867018785842,156.269446300863,330.621429636101,164.645257455575,0.000414597046022731,0.909042062765604
PC277,1.29801031748799,276,Not used,-767.658994809958,155.950808329762,331.509179273701,164.312984625882,0.000412721081904869,0.909454783847509
PC278,1.2966825906639,277,Not used,-770.446398642316,155.632692166117,332.395475116018,163.97640840988,0.000412298912031542,0.90986708275954
PC279,1.29031941202184,278,Not used,-773.238837926493,155.314001324847,333.283372053934,163.64457160455,0.00041027564770296,0.910277358407243
PC280,1.28834484960162,279,Not used,-776.026888594447,154.99581134023,334.169873567095,163.308604195789,0.00040964780713237,0.910687006214376
PC281,1.28123194360403,280,Not used,-778.820077605979,154.677034935329,335.058008891797,162.977473040311,0.000407386156189182,0.911094392370565
PC282,1.27197082198909,281,Not used,-781.615414833128,154.358013362469,335.946827273093,162.648363803897,0.00040444144913942,0.911498833819704
PC283,1.26336720649333,282,Not used,-784.410094554158,154.039066828368,336.835436590696,162.318635717053,0.000401705805633463,0.911900539625338
PC284,1.25835409419492,283,Not used,-787.201183771991,153.720530065211,337.72290425526,161.985528217639,0.000400111814350317,0.912300651439688
PC285,1.2508149822258,284,Not used,-789.994798989494,153.401705018988,338.611175098387,161.654798210897,0.000397714645077794,0.912698366084766
PC286,1.24664308302308,285,Not used,-792.785046994231,153.083264260394,339.498375286936,161.320898954463,0.000396388129618445,0.913094754214384
PC287,1.2436260495352,286,Not used,-795.574140133253,152.764955302382,340.38520826903,160.98591272846,0.00039542882035219,0.913490183034736
PC288,1.2395098207441,287,Not used,-798.364332467578,152.446520897247,341.272390756357,160.651961074555,0.000394120006102301,0.913884303040838
PC289,1.23792320180373,288,Not used,-801.151995192053,152.128375187195,342.158768917211,160.315628530045,0.000393615517750538,0.914277918558589
PC290,1.23228401185723,289,Not used,-803.943710487534,151.809766972096,343.046435652326,159.983110300312,0.000391822456058787,0.914669741014648
PC291,1.22358766042065,290,Not used,-806.738482944504,151.490809854382,343.935074456678,159.653469497336,0.000389057325824324,0.915058798340472
PC292,1.21713686760524,291,Not used,-809.531009842854,151.172109014027,344.822999252804,159.321715155221,0.000387006203306998,0.915445804543779
PC293,1.21446238800411,292,Not used,-812.319760427989,150.853839150433,345.709723314875,158.986406514546,0.00038615581398448,0.915831960357764
PC294,1.21173705548056,293,Not used,-815.108561866047,150.535563483181,346.596463546378,158.65114573708,0.0003852892552426,0.916217249613006
PC295,1.20466807839864,294,Not used,-817.901706948663,150.216792091727,347.484584903238,158.319973235328,0.000383041572131068,0.916600291185137
PC296,1.20182519674326,295,Not used,-820.690625935853,149.898503009024,348.371362511208,157.984823096119,0.000382137636949098,0.916982428822086
PC297,1.19744951345141,296,Not used,-823.481077724679,149.5800389933,349.25862749589,157.651115643027,0.000380746325402533,0.917363175147489
PC298,1.18952744559746,297,Not used,-826.275075898067,149.261170241728,350.147020105446,157.320746077666,0.000378227389788882,0.917741402537278
PC299,1.1833070976946,298,Not used,-829.067372351504,148.942495701205,351.034871628239,156.988774838813,0.000376249540551705,0.91811765207783
PC300,1.17865087855371,299,Not used,-831.858104676179,148.623999668954,351.9222258134,156.655331428481,0.000374769028590033,0.91849242110642
PC301,1.1749040932903,300,Not used,-834.647927566977,148.305607427052,352.809290830751,156.321032051142,0.000373577684232636,0.918865998790652
PC302,1.16853817222851,301,Not used,-837.440369593573,147.9869162728,353.69718864066,155.989197827002,0.000371553547912189,0.919237552338565
PC303,1.16664999975968,302,Not used,-840.228333871576,147.668736147551,354.583662684871,155.653149107273,0.000370953176271332,0.919608505514836
PC304,1.16088108324776,303,Not used,-843.020178893622,147.350113127235,355.471370668446,155.320752977302,0.000369118866149034,0.919977624380985
PC305,1.15241177235754,304,Not used,-845.814724310047,147.031181920825,356.359937281934,154.990898481806,0.000366425926727436,0.920344050307712
PC306,1.15081517806888,305,Not used,-848.602397009869,146.713035072323,357.246318614596,154.65457532618,0.000365918266569964,0.920709968574282
PC307,1.14787387458109,306,Not used,-851.391414418891,146.394734757098,358.133127517228,154.319517822448,0.00036498303674834,0.921074951611031
PC308,1.14563990057973,307,Not used,-854.179724498427,146.07651516679,359.019711514098,153.983794574104,0.00036427271252798,0.921439224323559
PC309,1.14193639186087,308,Not used,-856.96950411268,145.758127863882,359.906762771037,153.649454464508,0.000363095128571442,0.92180231945213
PC310,1.13710297797753,309,Not used,-859.760413632098,145.439611609045,360.794173297861,153.316177831396,0.000361558274988425,0.922163877727118
PC311,1.13087716022622,310,Not used,-862.552715555383,145.120936444269,361.682026559871,152.984211740811,0.000359578686534124,0.922523456413652
PC312,1.12609712436249,311,Not used,-865.343571696781,144.80242628127,362.569420114372,152.650884867847,0.0003580588052615,0.922881515218914
PC313,1.12287056293534,312,Not used,-868.132874363743,144.484093410604,363.45631971894,152.316095851347,0.000357032873568117,0.923238548092482
PC314,1.11418906324359,313,Not used,-870.927631968969,144.165137987866,364.344953800963,151.986441069781,0.000354272465659905,0.923592820558142
PC315,1.11245043538568,314,Not used,-873.715446702361,143.846974929594,365.231380295277,151.650251597375,0.0003537196438827,0.923946540202025
PC316,1.10807786731894,315,Not used,-876.505895375962,143.528511269399,366.118644289428,151.316541212206,0.000352329322866839,0.924298869524892
PC317,1.10131024295869,316,Not used,-879.298739105856,143.209774270224,367.00666982678,150.985085074674,0.000350177459194988,0.924649046984087
PC318,1.10021855379913,317,Not used,-882.08590690055,142.89168504469,367.892890617467,150.648286697987,0.00034983034089788,0.924998877324984
PC319,1.09536722513812,318,Not used,-884.876834334745,142.573166745306,368.780306840556,150.315026926418,0.000348287791053189,0.925347165116038
PC320,1.08890278910868,319,Not used,-887.669374876309,142.254464347902,369.66823597474,149.983285425415,0.000346232330479393,0.925693397446517
PC321,1.08473869694203,320,Not used,-890.45961507401,141.936024480296,370.555433680928,149.649378820931,0.000344908297379643,0.926038305743897
PC322,1.08186950939457,321,Not used,-893.248560367091,141.617732395398,371.442219653241,149.314253441054,0.000343995997860279,0.926382301741757
PC323,1.07704906501035,322,Not used,-896.03945691701,141.299217620723,372.329626056222,148.980964600938,0.000342463268116366,0.926724765009873
